Date,Branch,Product,Size,Quantity Sold,Price,Total Sales
2024-04-01,Kkopi,Coffee,Solo,52,39,2028
2024-04-01,Kkopi,Milktea,Jumbo,46,49,2254
2024-04-01,Kkopi,Fruit Tea,Jumbo,26,49,1274
2024-04-01,Waffly,Chocolate,Regular,74,29,2146
2024-04-01,Waffly,Strawberry,Regular,84,29,2436
2024-04-01,Waffly,Caramel,Regular,47,29,1363
2024-04-01,Waffly,Choco-berry,Regular,61,29,1769
2024-04-01,Waffly,Choco-caramel,Regular,21,29,609
2024-04-01,Waffly,Berry-caramel,Regular,100,29,2900
2024-04-01,Waffly,Chocolate,Large,9,39,351
2024-04-01,Waffly,Strawberry,Large,94,39,3666
2024-04-01,Waffly,Caramel,Large,45,39,1755
2024-04-01,Waffly,Choco-berry,Large,53,39,2067
2024-04-01,Waffly,Choco-caramel,Large,30,39,1170
2024-04-01,Waffly,Berry-caramel,Large,72,39,2808
2024-04-01,WaterStation,Gallon Round,New,37,150,5550
2024-04-01,WaterStation,Gallon Round,Refill,37,20,740
2024-04-01,WaterStation,Gallon Slim,New,67,150,10050
2024-04-01,WaterStation,Gallon Slim,Refill,86,20,1720
2024-04-01,WaterStation,350ml,New,51,150,7650
2024-04-01,WaterStation,500ml,New,76,150,11400
2024-04-02,Kkopi,Coffee,Solo,72,39,2808
2024-04-02,Kkopi,Milktea,Jumbo,80,49,3920
2024-04-02,Kkopi,Fruit Tea,Jumbo,14,49,686
2024-04-02,Waffly,Chocolate,Regular,83,29,2407
2024-04-02,Waffly,Strawberry,Regular,29,29,841
2024-04-02,Waffly,Caramel,Regular,69,29,2001
2024-04-02,Waffly,Choco-berry,Regular,88,29,2552
2024-04-02,Waffly,Choco-caramel,Regular,49,29,1421
2024-04-02,Waffly,Berry-caramel,Regular,7,29,203
2024-04-02,Waffly,Chocolate,Large,74,39,2886
2024-04-02,Waffly,Strawberry,Large,82,39,3198
2024-04-02,Waffly,Caramel,Large,58,39,2262
2024-04-02,Waffly,Choco-berry,Large,80,39,3120
2024-04-02,Waffly,Choco-caramel,Large,83,39,3237
2024-04-02,Waffly,Berry-caramel,Large,28,39,1092
2024-04-02,WaterStation,Gallon Round,New,7,150,1050
2024-04-02,WaterStation,Gallon Round,Refill,14,20,280
2024-04-02,WaterStation,Gallon Slim,New,96,150,14400
2024-04-02,WaterStation,Gallon Slim,Refill,81,20,1620
2024-04-02,WaterStation,350ml,New,43,150,6450
2024-04-02,WaterStation,500ml,New,95,150,14250
2024-04-03,Kkopi,Coffee,Solo,22,39,858
2024-04-03,Kkopi,Milktea,Jumbo,56,49,2744
2024-04-03,Kkopi,Fruit Tea,Jumbo,56,49,2744
2024-04-03,Waffly,Chocolate,Regular,22,29,638
2024-04-03,Waffly,Strawberry,Regular,27,29,783
2024-04-03,Waffly,Caramel,Regular,41,29,1189
2024-04-03,Waffly,Choco-berry,Regular,82,29,2378
2024-04-03,Waffly,Choco-caramel,Regular,13,29,377
2024-04-03,Waffly,Berry-caramel,Regular,45,29,1305
2024-04-03,Waffly,Chocolate,Large,72,39,2808
2024-04-03,Waffly,Strawberry,Large,95,39,3705
2024-04-03,Waffly,Caramel,Large,54,39,2106
2024-04-03,Waffly,Choco-berry,Large,60,39,2340
2024-04-03,Waffly,Choco-caramel,Large,87,39,3393
2024-04-03,Waffly,Berry-caramel,Large,29,39,1131
2024-04-03,WaterStation,Gallon Round,New,39,150,5850
2024-04-03,WaterStation,Gallon Round,Refill,83,20,1660
2024-04-03,WaterStation,Gallon Slim,New,69,150,10350
2024-04-03,WaterStation,Gallon Slim,Refill,50,20,1000
2024-04-03,WaterStation,350ml,New,25,150,3750
2024-04-03,WaterStation,500ml,New,15,150,2250
2024-04-04,Kkopi,Coffee,Solo,34,39,1326
2024-04-04,Kkopi,Milktea,Jumbo,96,49,4704
2024-04-04,Kkopi,Fruit Tea,Jumbo,2,49,98
2024-04-04,Waffly,Chocolate,Regular,67,29,1943
2024-04-04,Waffly,Strawberry,Regular,79,29,2291
2024-04-04,Waffly,Caramel,Regular,57,29,1653
2024-04-04,Waffly,Choco-berry,Regular,89,29,2581
2024-04-04,Waffly,Choco-caramel,Regular,11,29,319
2024-04-04,Waffly,Berry-caramel,Regular,88,29,2552
2024-04-04,Waffly,Chocolate,Large,64,39,2496
2024-04-04,Waffly,Strawberry,Large,15,39,585
2024-04-04,Waffly,Caramel,Large,73,39,2847
2024-04-04,Waffly,Choco-berry,Large,22,39,858
2024-04-04,Waffly,Choco-caramel,Large,53,39,2067
2024-04-04,Waffly,Berry-caramel,Large,9,39,351
2024-04-04,WaterStation,Gallon Round,New,39,150,5850
2024-04-04,WaterStation,Gallon Round,Refill,99,20,1980
2024-04-04,WaterStation,Gallon Slim,New,4,150,600
2024-04-04,WaterStation,Gallon Slim,Refill,24,20,480
2024-04-04,WaterStation,350ml,New,12,150,1800
2024-04-04,WaterStation,500ml,New,49,150,7350
2024-04-05,Kkopi,Coffee,Solo,18,39,702
2024-04-05,Kkopi,Milktea,Jumbo,80,49,3920
2024-04-05,Kkopi,Fruit Tea,Jumbo,20,49,980
2024-04-05,Waffly,Chocolate,Regular,41,29,1189
2024-04-05,Waffly,Strawberry,Regular,40,29,1160
2024-04-05,Waffly,Caramel,Regular,98,29,2842
2024-04-05,Waffly,Choco-berry,Regular,32,29,928
2024-04-05,Waffly,Choco-caramel,Regular,60,29,1740
2024-04-05,Waffly,Berry-caramel,Regular,63,29,1827
2024-04-05,Waffly,Chocolate,Large,30,39,1170
2024-04-05,Waffly,Strawberry,Large,46,39,1794
2024-04-05,Waffly,Caramel,Large,18,39,702
2024-04-05,Waffly,Choco-berry,Large,4,39,156
2024-04-05,Waffly,Choco-caramel,Large,52,39,2028
2024-04-05,Waffly,Berry-caramel,Large,87,39,3393
2024-04-05,WaterStation,Gallon Round,New,27,150,4050
2024-04-05,WaterStation,Gallon Round,Refill,36,20,720
2024-04-05,WaterStation,Gallon Slim,New,12,150,1800
2024-04-05,WaterStation,Gallon Slim,Refill,33,20,660
2024-04-05,WaterStation,350ml,New,45,150,6750
2024-04-05,WaterStation,500ml,New,40,150,6000
2024-04-06,Kkopi,Coffee,Solo,96,39,3744
2024-04-06,Kkopi,Milktea,Jumbo,81,49,3969
2024-04-06,Kkopi,Fruit Tea,Jumbo,83,49,4067
2024-04-06,Waffly,Chocolate,Regular,18,29,522
2024-04-06,Waffly,Strawberry,Regular,14,29,406
2024-04-06,Waffly,Caramel,Regular,42,29,1218
2024-04-06,Waffly,Choco-berry,Regular,66,29,1914
2024-04-06,Waffly,Choco-caramel,Regular,11,29,319
2024-04-06,Waffly,Berry-caramel,Regular,51,29,1479
2024-04-06,Waffly,Chocolate,Large,88,39,3432
2024-04-06,Waffly,Strawberry,Large,75,39,2925
2024-04-06,Waffly,Caramel,Large,77,39,3003
2024-04-06,Waffly,Choco-berry,Large,63,39,2457
2024-04-06,Waffly,Choco-caramel,Large,74,39,2886
2024-04-06,Waffly,Berry-caramel,Large,33,39,1287
2024-04-06,WaterStation,Gallon Round,New,12,150,1800
2024-04-06,WaterStation,Gallon Round,Refill,92,20,1840
2024-04-06,WaterStation,Gallon Slim,New,16,150,2400
2024-04-06,WaterStation,Gallon Slim,Refill,6,20,120
2024-04-06,WaterStation,350ml,New,37,150,5550
2024-04-06,WaterStation,500ml,New,29,150,4350
2024-04-07,Kkopi,Coffee,Solo,78,39,3042
2024-04-07,Kkopi,Milktea,Jumbo,91,49,4459
2024-04-07,Kkopi,Fruit Tea,Jumbo,89,49,4361
2024-04-07,Waffly,Chocolate,Regular,15,29,435
2024-04-07,Waffly,Strawberry,Regular,46,29,1334
2024-04-07,Waffly,Caramel,Regular,15,29,435
2024-04-07,Waffly,Choco-berry,Regular,52,29,1508
2024-04-07,Waffly,Choco-caramel,Regular,29,29,841
2024-04-07,Waffly,Berry-caramel,Regular,9,29,261
2024-04-07,Waffly,Chocolate,Large,13,39,507
2024-04-07,Waffly,Strawberry,Large,43,39,1677
2024-04-07,Waffly,Caramel,Large,6,39,234
2024-04-07,Waffly,Choco-berry,Large,92,39,3588
2024-04-07,Waffly,Choco-caramel,Large,55,39,2145
2024-04-07,Waffly,Berry-caramel,Large,32,39,1248
2024-04-07,WaterStation,Gallon Round,New,100,150,15000
2024-04-07,WaterStation,Gallon Round,Refill,31,20,620
2024-04-07,WaterStation,Gallon Slim,New,72,150,10800
2024-04-07,WaterStation,Gallon Slim,Refill,87,20,1740
2024-04-07,WaterStation,350ml,New,58,150,8700
2024-04-07,WaterStation,500ml,New,47,150,7050
2024-04-08,Kkopi,Coffee,Solo,86,39,3354
2024-04-08,Kkopi,Milktea,Jumbo,26,49,1274
2024-04-08,Kkopi,Fruit Tea,Jumbo,36,49,1764
2024-04-08,Waffly,Chocolate,Regular,6,29,174
2024-04-08,Waffly,Strawberry,Regular,26,29,754
2024-04-08,Waffly,Caramel,Regular,91,29,2639
2024-04-08,Waffly,Choco-berry,Regular,10,29,290
2024-04-08,Waffly,Choco-caramel,Regular,64,29,1856
2024-04-08,Waffly,Berry-caramel,Regular,81,29,2349
2024-04-08,Waffly,Chocolate,Large,5,39,195
2024-04-08,Waffly,Strawberry,Large,70,39,2730
2024-04-08,Waffly,Caramel,Large,37,39,1443
2024-04-08,Waffly,Choco-berry,Large,65,39,2535
2024-04-08,Waffly,Choco-caramel,Large,94,39,3666
2024-04-08,Waffly,Berry-caramel,Large,66,39,2574
2024-04-08,WaterStation,Gallon Round,New,81,150,12150
2024-04-08,WaterStation,Gallon Round,Refill,11,20,220
2024-04-08,WaterStation,Gallon Slim,New,42,150,6300
2024-04-08,WaterStation,Gallon Slim,Refill,53,20,1060
2024-04-08,WaterStation,350ml,New,77,150,11550
2024-04-08,WaterStation,500ml,New,48,150,7200
2024-04-09,Kkopi,Coffee,Solo,61,39,2379
2024-04-09,Kkopi,Milktea,Jumbo,55,49,2695
2024-04-09,Kkopi,Fruit Tea,Jumbo,30,49,1470
2024-04-09,Waffly,Chocolate,Regular,17,29,493
2024-04-09,Waffly,Strawberry,Regular,39,29,1131
2024-04-09,Waffly,Caramel,Regular,81,29,2349
2024-04-09,Waffly,Choco-berry,Regular,76,29,2204
2024-04-09,Waffly,Choco-caramel,Regular,29,29,841
2024-04-09,Waffly,Berry-caramel,Regular,63,29,1827
2024-04-09,Waffly,Chocolate,Large,49,39,1911
2024-04-09,Waffly,Strawberry,Large,88,39,3432
2024-04-09,Waffly,Caramel,Large,12,39,468
2024-04-09,Waffly,Choco-berry,Large,94,39,3666
2024-04-09,Waffly,Choco-caramel,Large,61,39,2379
2024-04-09,Waffly,Berry-caramel,Large,72,39,2808
2024-04-09,WaterStation,Gallon Round,New,54,150,8100
2024-04-09,WaterStation,Gallon Round,Refill,28,20,560
2024-04-09,WaterStation,Gallon Slim,New,70,150,10500
2024-04-09,WaterStation,Gallon Slim,Refill,7,20,140
2024-04-09,WaterStation,350ml,New,87,150,13050
2024-04-09,WaterStation,500ml,New,38,150,5700
2024-04-10,Kkopi,Coffee,Solo,63,39,2457
2024-04-10,Kkopi,Milktea,Jumbo,77,49,3773
2024-04-10,Kkopi,Fruit Tea,Jumbo,10,49,490
2024-04-10,Waffly,Chocolate,Regular,99,29,2871
2024-04-10,Waffly,Strawberry,Regular,87,29,2523
2024-04-10,Waffly,Caramel,Regular,8,29,232
2024-04-10,Waffly,Choco-berry,Regular,37,29,1073
2024-04-10,Waffly,Choco-caramel,Regular,16,29,464
2024-04-10,Waffly,Berry-caramel,Regular,64,29,1856
2024-04-10,Waffly,Chocolate,Large,72,39,2808
2024-04-10,Waffly,Strawberry,Large,39,39,1521
2024-04-10,Waffly,Caramel,Large,53,39,2067
2024-04-10,Waffly,Choco-berry,Large,49,39,1911
2024-04-10,Waffly,Choco-caramel,Large,56,39,2184
2024-04-10,Waffly,Berry-caramel,Large,57,39,2223
2024-04-10,WaterStation,Gallon Round,New,90,150,13500
2024-04-10,WaterStation,Gallon Round,Refill,77,20,1540
2024-04-10,WaterStation,Gallon Slim,New,10,150,1500
2024-04-10,WaterStation,Gallon Slim,Refill,4,20,80
2024-04-10,WaterStation,350ml,New,36,150,5400
2024-04-10,WaterStation,500ml,New,43,150,6450
2024-04-11,Kkopi,Coffee,Solo,83,39,3237
2024-04-11,Kkopi,Milktea,Jumbo,59,49,2891
2024-04-11,Kkopi,Fruit Tea,Jumbo,51,49,2499
2024-04-11,Waffly,Chocolate,Regular,32,29,928
2024-04-11,Waffly,Strawberry,Regular,32,29,928
2024-04-11,Waffly,Caramel,Regular,25,29,725
2024-04-11,Waffly,Choco-berry,Regular,54,29,1566
2024-04-11,Waffly,Choco-caramel,Regular,72,29,2088
2024-04-11,Waffly,Berry-caramel,Regular,37,29,1073
2024-04-11,Waffly,Chocolate,Large,6,39,234
2024-04-11,Waffly,Strawberry,Large,23,39,897
2024-04-11,Waffly,Caramel,Large,69,39,2691
2024-04-11,Waffly,Choco-berry,Large,36,39,1404
2024-04-11,Waffly,Choco-caramel,Large,47,39,1833
2024-04-11,Waffly,Berry-caramel,Large,65,39,2535
2024-04-11,WaterStation,Gallon Round,New,44,150,6600
2024-04-11,WaterStation,Gallon Round,Refill,94,20,1880
2024-04-11,WaterStation,Gallon Slim,New,80,150,12000
2024-04-11,WaterStation,Gallon Slim,Refill,91,20,1820
2024-04-11,WaterStation,350ml,New,76,150,11400
2024-04-11,WaterStation,500ml,New,42,150,6300
2024-04-12,Kkopi,Coffee,Solo,23,39,897
2024-04-12,Kkopi,Milktea,Jumbo,99,49,4851
2024-04-12,Kkopi,Fruit Tea,Jumbo,13,49,637
2024-04-12,Waffly,Chocolate,Regular,29,29,841
2024-04-12,Waffly,Strawberry,Regular,85,29,2465
2024-04-12,Waffly,Caramel,Regular,43,29,1247
2024-04-12,Waffly,Choco-berry,Regular,70,29,2030
2024-04-12,Waffly,Choco-caramel,Regular,5,29,145
2024-04-12,Waffly,Berry-caramel,Regular,98,29,2842
2024-04-12,Waffly,Chocolate,Large,36,39,1404
2024-04-12,Waffly,Strawberry,Large,12,39,468
2024-04-12,Waffly,Caramel,Large,37,39,1443
2024-04-12,Waffly,Choco-berry,Large,61,39,2379
2024-04-12,Waffly,Choco-caramel,Large,81,39,3159
2024-04-12,Waffly,Berry-caramel,Large,4,39,156
2024-04-12,WaterStation,Gallon Round,New,7,150,1050
2024-04-12,WaterStation,Gallon Round,Refill,46,20,920
2024-04-12,WaterStation,Gallon Slim,New,99,150,14850
2024-04-12,WaterStation,Gallon Slim,Refill,77,20,1540
2024-04-12,WaterStation,350ml,New,24,150,3600
2024-04-12,WaterStation,500ml,New,14,150,2100
2024-04-13,Kkopi,Coffee,Solo,16,39,624
2024-04-13,Kkopi,Milktea,Jumbo,26,49,1274
2024-04-13,Kkopi,Fruit Tea,Jumbo,38,49,1862
2024-04-13,Waffly,Chocolate,Regular,80,29,2320
2024-04-13,Waffly,Strawberry,Regular,3,29,87
2024-04-13,Waffly,Caramel,Regular,47,29,1363
2024-04-13,Waffly,Choco-berry,Regular,7,29,203
2024-04-13,Waffly,Choco-caramel,Regular,5,29,145
2024-04-13,Waffly,Berry-caramel,Regular,59,29,1711
2024-04-13,Waffly,Chocolate,Large,88,39,3432
2024-04-13,Waffly,Strawberry,Large,47,39,1833
2024-04-13,Waffly,Caramel,Large,70,39,2730
2024-04-13,Waffly,Choco-berry,Large,55,39,2145
2024-04-13,Waffly,Choco-caramel,Large,15,39,585
2024-04-13,Waffly,Berry-caramel,Large,55,39,2145
2024-04-13,WaterStation,Gallon Round,New,49,150,7350
2024-04-13,WaterStation,Gallon Round,Refill,57,20,1140
2024-04-13,WaterStation,Gallon Slim,New,28,150,4200
2024-04-13,WaterStation,Gallon Slim,Refill,60,20,1200
2024-04-13,WaterStation,350ml,New,64,150,9600
2024-04-13,WaterStation,500ml,New,86,150,12900
2024-04-14,Kkopi,Coffee,Solo,72,39,2808
2024-04-14,Kkopi,Milktea,Jumbo,59,49,2891
2024-04-14,Kkopi,Fruit Tea,Jumbo,100,49,4900
2024-04-14,Waffly,Chocolate,Regular,50,29,1450
2024-04-14,Waffly,Strawberry,Regular,18,29,522
2024-04-14,Waffly,Caramel,Regular,38,29,1102
2024-04-14,Waffly,Choco-berry,Regular,10,29,290
2024-04-14,Waffly,Choco-caramel,Regular,11,29,319
2024-04-14,Waffly,Berry-caramel,Regular,2,29,58
2024-04-14,Waffly,Chocolate,Large,14,39,546
2024-04-14,Waffly,Strawberry,Large,33,39,1287
2024-04-14,Waffly,Caramel,Large,83,39,3237
2024-04-14,Waffly,Choco-berry,Large,20,39,780
2024-04-14,Waffly,Choco-caramel,Large,3,39,117
2024-04-14,Waffly,Berry-caramel,Large,85,39,3315
2024-04-14,WaterStation,Gallon Round,New,55,150,8250
2024-04-14,WaterStation,Gallon Round,Refill,72,20,1440
2024-04-14,WaterStation,Gallon Slim,New,48,150,7200
2024-04-14,WaterStation,Gallon Slim,Refill,23,20,460
2024-04-14,WaterStation,350ml,New,84,150,12600
2024-04-14,WaterStation,500ml,New,27,150,4050
2024-04-15,Kkopi,Coffee,Solo,56,39,2184
2024-04-15,Kkopi,Milktea,Jumbo,48,49,2352
