Date,Branch,Product,Size,Quantity Sold,Price,Total Sales
2024-08-01,Kkopi,Coffee,Solo,83,39,3237
2024-08-01,Kkopi,Milktea,Jumbo,24,49,1176
2024-08-01,Kkopi,Fruit Tea,Jumbo,84,49,4116
2024-08-01,Waffly,Chocolate,Regular,8,29,232
2024-08-01,Waffly,Strawberry,Regular,45,29,1305
2024-08-01,Waffly,Caramel,Regular,64,29,1856
2024-08-01,Waffly,Choco-berry,Regular,19,29,551
2024-08-01,Waffly,Choco-caramel,Regular,27,29,783
2024-08-01,Waffly,Berry-caramel,Regular,34,29,986
2024-08-01,Waffly,Chocolate,Large,68,39,2652
2024-08-01,Waffly,Strawberry,Large,95,39,3705
2024-08-01,Waffly,Caramel,Large,64,39,2496
2024-08-01,Waffly,Choco-berry,Large,25,39,975
2024-08-01,Waffly,Choco-caramel,Large,52,39,2028
2024-08-01,Waffly,Berry-caramel,Large,44,39,1716
2024-08-01,WaterStation,Gallon Round,New,43,150,6450
2024-08-01,WaterStation,Gallon Round,Refill,20,20,400
2024-08-01,WaterStation,Gallon Slim,New,51,150,7650
2024-08-01,WaterStation,Gallon Slim,Refill,85,20,1700
2024-08-01,WaterStation,350ml,New,25,150,3750
2024-08-01,WaterStation,500ml,New,68,150,10200
2024-08-02,Kkopi,Coffee,Solo,65,39,2535
2024-08-02,Kkopi,Milktea,Jumbo,69,49,3381
2024-08-02,Kkopi,Fruit Tea,Jumbo,46,49,2254
2024-08-02,Waffly,Chocolate,Regular,4,29,116
2024-08-02,Waffly,Strawberry,Regular,93,29,2697
2024-08-02,Waffly,Caramel,Regular,93,29,2697
2024-08-02,Waffly,Choco-berry,Regular,35,29,1015
2024-08-02,Waffly,Choco-caramel,Regular,57,29,1653
2024-08-02,Waffly,Berry-caramel,Regular,39,29,1131
2024-08-02,Waffly,Chocolate,Large,98,39,3822
2024-08-02,Waffly,Strawberry,Large,65,39,2535
2024-08-02,Waffly,Caramel,Large,92,39,3588
2024-08-02,Waffly,Choco-berry,Large,16,39,624
2024-08-02,Waffly,Choco-caramel,Large,76,39,2964
2024-08-02,Waffly,Berry-caramel,Large,29,39,1131
2024-08-02,WaterStation,Gallon Round,New,6,150,900
2024-08-02,WaterStation,Gallon Round,Refill,42,20,840
2024-08-02,WaterStation,Gallon Slim,New,86,150,12900
2024-08-02,WaterStation,Gallon Slim,Refill,27,20,540
2024-08-02,WaterStation,350ml,New,91,150,13650
2024-08-02,WaterStation,500ml,New,18,150,2700
2024-08-03,Kkopi,Coffee,Solo,24,39,936
2024-08-03,Kkopi,Milktea,Jumbo,24,49,1176
2024-08-03,Kkopi,Fruit Tea,Jumbo,74,49,3626
2024-08-03,Waffly,Chocolate,Regular,35,29,1015
2024-08-03,Waffly,Strawberry,Regular,36,29,1044
2024-08-03,Waffly,Caramel,Regular,15,29,435
2024-08-03,Waffly,Choco-berry,Regular,4,29,116
2024-08-03,Waffly,Choco-caramel,Regular,76,29,2204
2024-08-03,Waffly,Berry-caramel,Regular,73,29,2117
2024-08-03,Waffly,Chocolate,Large,10,39,390
2024-08-03,Waffly,Strawberry,Large,57,39,2223
2024-08-03,Waffly,Caramel,Large,91,39,3549
2024-08-03,Waffly,Choco-berry,Large,10,39,390
2024-08-03,Waffly,Choco-caramel,Large,59,39,2301
2024-08-03,Waffly,Berry-caramel,Large,11,39,429
2024-08-03,WaterStation,Gallon Round,New,52,150,7800
2024-08-03,WaterStation,Gallon Round,Refill,4,20,80
2024-08-03,WaterStation,Gallon Slim,New,40,150,6000
2024-08-03,WaterStation,Gallon Slim,Refill,89,20,1780
2024-08-03,WaterStation,350ml,New,55,150,8250
2024-08-03,WaterStation,500ml,New,99,150,14850
2024-08-04,Kkopi,Coffee,Solo,48,39,1872
2024-08-04,Kkopi,Milktea,Jumbo,85,49,4165
2024-08-04,Kkopi,Fruit Tea,Jumbo,53,49,2597
2024-08-04,Waffly,Chocolate,Regular,51,29,1479
2024-08-04,Waffly,Strawberry,Regular,71,29,2059
2024-08-04,Waffly,Caramel,Regular,33,29,957
2024-08-04,Waffly,Choco-berry,Regular,59,29,1711
2024-08-04,Waffly,Choco-caramel,Regular,67,29,1943
2024-08-04,Waffly,Berry-caramel,Regular,97,29,2813
2024-08-04,Waffly,Chocolate,Large,100,39,3900
2024-08-04,Waffly,Strawberry,Large,12,39,468
2024-08-04,Waffly,Caramel,Large,82,39,3198
2024-08-04,Waffly,Choco-berry,Large,93,39,3627
2024-08-04,Waffly,Choco-caramel,Large,67,39,2613
2024-08-04,Waffly,Berry-caramel,Large,51,39,1989
2024-08-04,WaterStation,Gallon Round,New,96,150,14400
2024-08-04,WaterStation,Gallon Round,Refill,11,20,220
2024-08-04,WaterStation,Gallon Slim,New,6,150,900
2024-08-04,WaterStation,Gallon Slim,Refill,57,20,1140
2024-08-04,WaterStation,350ml,New,88,150,13200
2024-08-04,WaterStation,500ml,New,34,150,5100
2024-08-05,Kkopi,Coffee,Solo,74,39,2886
2024-08-05,Kkopi,Milktea,Jumbo,86,49,4214
2024-08-05,Kkopi,Fruit Tea,Jumbo,99,49,4851
2024-08-05,Waffly,Chocolate,Regular,36,29,1044
2024-08-05,Waffly,Strawberry,Regular,32,29,928
2024-08-05,Waffly,Caramel,Regular,33,29,957
