Date,Branch,Product,Size,Quantity Sold,Price,Total Sales
2024-12-01,Kkopi,Coffee,Solo,19,39,741
2024-12-01,Kkopi,Milktea,Jumbo,36,49,1764
2024-12-01,Kkopi,Fruit Tea,Jumbo,31,49,1519
2024-12-01,Waffly,Chocolate,Regular,100,29,2900
2024-12-01,Waffly,Strawberry,Regular,52,29,1508
2024-12-01,Waffly,Caramel,Regular,5,29,145
2024-12-01,Waffly,Choco-berry,Regular,90,29,2610
2024-12-01,Waffly,Choco-caramel,Regular,45,29,1305
2024-12-01,Waffly,Berry-caramel,Regular,86,29,2494
2024-12-01,Waffly,Chocolate,Large,31,39,1209
2024-12-01,Waffly,Strawberry,Large,63,39,2457
2024-12-01,Waffly,Caramel,Large,37,39,1443
2024-12-01,Waffly,Choco-berry,Large,72,39,2808
2024-12-01,Waffly,Choco-caramel,Large,17,39,663
2024-12-01,Waffly,Berry-caramel,Large,2,39,78
2024-12-01,WaterStation,Gallon Round,New,68,150,10200
2024-12-01,WaterStation,Gallon Round,Refill,27,20,540
2024-12-01,WaterStation,Gallon Slim,New,73,150,10950
2024-12-01,WaterStation,Gallon Slim,Refill,29,20,580
2024-12-01,WaterStation,350ml,New,94,150,14100
2024-12-01,WaterStation,500ml,New,48,150,7200
2024-12-02,Kkopi,Coffee,Solo,95,39,3705
2024-12-02,Kkopi,Milktea,Jumbo,14,49,686
2024-12-02,Kkopi,Fruit Tea,Jumbo,45,49,2205
2024-12-02,Waffly,Chocolate,Regular,48,29,1392
2024-12-02,Waffly,Strawberry,Regular,24,29,696
2024-12-02,Waffly,Caramel,Regular,4,29,116
2024-12-02,Waffly,Choco-berry,Regular,62,29,1798
2024-12-02,Waffly,Choco-caramel,Regular,87,29,2523
2024-12-02,Waffly,Berry-caramel,Regular,3,29,87
2024-12-02,Waffly,Chocolate,Large,85,39,3315
2024-12-02,Waffly,Strawberry,Large,73,39,2847
2024-12-02,Waffly,Caramel,Large,96,39,3744
2024-12-02,Waffly,Choco-berry,Large,14,39,546
2024-12-02,Waffly,Choco-caramel,Large,96,39,3744
2024-12-02,Waffly,Berry-caramel,Large,21,39,819
2024-12-02,WaterStation,Gallon Round,New,94,150,14100
2024-12-02,WaterStation,Gallon Round,Refill,90,20,1800
2024-12-02,WaterStation,Gallon Slim,New,11,150,1650
2024-12-02,WaterStation,Gallon Slim,Refill,49,20,980
2024-12-02,WaterStation,350ml,New,30,150,4500
2024-12-02,WaterStation,500ml,New,27,150,4050
2024-12-03,Kkopi,Coffee,Solo,72,39,2808
2024-12-03,Kkopi,Milktea,Jumbo,5,49,245
2024-12-03,Kkopi,Fruit Tea,Jumbo,27,49,1323
2024-12-03,Waffly,Chocolate,Regular,8,29,232
2024-12-03,Waffly,Strawberry,Regular,91,29,2639
2024-12-03,Waffly,Caramel,Regular,50,29,1450
2024-12-03,Waffly,Choco-berry,Regular,75,29,2175
2024-12-03,Waffly,Choco-caramel,Regular,36,29,1044
2024-12-03,Waffly,Berry-caramel,Regular,21,29,609
2024-12-03,Waffly,Chocolate,Large,74,39,2886
2024-12-03,Waffly,Strawberry,Large,37,39,1443
2024-12-03,Waffly,Caramel,Large,17,39,663
2024-12-03,Waffly,Choco-berry,Large,61,39,2379
2024-12-03,Waffly,Choco-caramel,Large,52,39,2028
2024-12-03,Waffly,Berry-caramel,Large,80,39,3120
2024-12-03,WaterStation,Gallon Round,New,64,150,9600
2024-12-03,WaterStation,Gallon Round,Refill,50,20,1000
2024-12-03,WaterStation,Gallon Slim,New,13,150,1950
2024-12-03,WaterStation,Gallon Slim,Refill,100,20,2000
2024-12-03,WaterStation,350ml,New,89,150,13350
2024-12-03,WaterStation,500ml,New,78,150,11700
2024-12-04,Kkopi,Coffee,Solo,41,39,1599
2024-12-04,Kkopi,Milktea,Jumbo,82,49,4018
2024-12-04,Kkopi,Fruit Tea,Jumbo,81,49,3969
2024-12-04,Waffly,Chocolate,Regular,73,29,2117
2024-12-04,Waffly,Strawberry,Regular,35,29,1015
2024-12-04,Waffly,Caramel,Regular,82,29,2378
2024-12-04,Waffly,Choco-berry,Regular,37,29,1073
2024-12-04,Waffly,Choco-caramel,Regular,25,29,725
