Date,Branch,Product,Size,Quantity Sold,Price,Total Sales
2024-02-01,Kkopi,Coffee,Solo,19,39,741
2024-02-01,Kkopi,Milktea,Jumbo,36,49,1764
2024-02-01,Kkopi,Fruit Tea,Jumbo,28,49,1372
2024-02-01,Waffly,Chocolate,Regular,12,29,348
2024-02-01,Waffly,Strawberry,Regular,35,29,1015
2024-02-01,Waffly,Caramel,Regular,59,29,1711
2024-02-01,Waffly,Choco-berry,Regular,55,29,1595
2024-02-01,Waffly,Choco-caramel,Regular,67,29,1943
2024-02-01,Waffly,Berry-caramel,Regular,63,29,1827
2024-02-01,Waffly,Chocolate,Large,23,39,897
2024-02-01,Waffly,Strawberry,Large,79,39,3081
2024-02-01,Waffly,Caramel,Large,47,39,1833
2024-02-01,Waffly,Choco-berry,Large,39,39,1521
2024-02-01,Waffly,Choco-caramel,Large,33,39,1287
2024-02-01,Waffly,Berry-caramel,Large,73,39,2847
2024-02-01,WaterStation,Gallon Round,New,73,150,10950
2024-02-01,WaterStation,Gallon Round,Refill,14,20,280
2024-02-01,WaterStation,Gallon Slim,New,80,150,12000
2024-02-01,WaterStation,Gallon Slim,Refill,71,20,1420
2024-02-01,WaterStation,350ml,New,39,150,5850
2024-02-01,WaterStation,500ml,New,71,150,10650
2024-02-02,Kkopi,Coffee,Solo,37,39,1443
2024-02-02,Kkopi,Milktea,Jumbo,69,49,3381
2024-02-02,Kkopi,Fruit Tea,Jumbo,16,49,784
2024-02-02,Waffly,Chocolate,Regular,66,29,1914
2024-02-02,Waffly,Strawberry,Regular,88,29,2552
2024-02-02,Waffly,Caramel,Regular,37,29,1073
2024-02-02,Waffly,Choco-berry,Regular,78,29,2262
2024-02-02,Waffly,Choco-caramel,Regular,91,29,2639
2024-02-02,Waffly,Berry-caramel,Regular,33,29,957
2024-02-02,Waffly,Chocolate,Large,83,39,3237
2024-02-02,Waffly,Strawberry,Large,23,39,897
2024-02-02,Waffly,Caramel,Large,70,39,2730
2024-02-02,Waffly,Choco-berry,Large,45,39,1755
2024-02-02,Waffly,Choco-caramel,Large,88,39,3432
2024-02-02,Waffly,Berry-caramel,Large,22,39,858
2024-02-02,WaterStation,Gallon Round,New,42,150,6300
2024-02-02,WaterStation,Gallon Round,Refill,56,20,1120
2024-02-02,WaterStation,Gallon Slim,New,84,150,12600
2024-02-02,WaterStation,Gallon Slim,Refill,80,20,1600
2024-02-02,WaterStation,350ml,New,79,150,11850
2024-02-02,WaterStation,500ml,New,5,150,750
2024-02-03,Kkopi,Coffee,Solo,70,39,2730
2024-02-03,Kkopi,Milktea,Jumbo,87,49,4263
2024-02-03,Kkopi,Fruit Tea,Jumbo,83,49,4067
2024-02-03,Waffly,Chocolate,Regular,39,29,1131
2024-02-03,Waffly,Strawberry,Regular,59,29,1711
2024-02-03,Waffly,Caramel,Regular,14,29,406
2024-02-03,Waffly,Choco-berry,Regular,15,29,435
2024-02-03,Waffly,Choco-caramel,Regular,47,29,1363
2024-02-03,Waffly,Berry-caramel,Regular,41,29,1189
2024-02-03,Waffly,Chocolate,Large,69,39,2691
2024-02-03,Waffly,Strawberry,Large,76,39,2964
2024-02-03,Waffly,Caramel,Large,75,39,2925
2024-02-03,Waffly,Choco-berry,Large,50,39,1950
2024-02-03,Waffly,Choco-caramel,Large,58,39,2262
2024-02-03,Waffly,Berry-caramel,Large,93,39,3627
2024-02-03,WaterStation,Gallon Round,New,43,150,6450
2024-02-03,WaterStation,Gallon Round,Refill,42,20,840
2024-02-03,WaterStation,Gallon Slim,New,47,150,7050
2024-02-03,WaterStation,Gallon Slim,Refill,93,20,1860
