Date,Branch,Product,Size,Quantity Sold,Price,Total Sales
2024-01-01,Kkopi,Coffee,Solo,47,39,1833
2024-01-01,Kkopi,Milktea,Jumbo,31,49,1519
2024-01-01,Kkopi,Fruit Tea,Jumbo,80,49,3920
2024-01-01,Waffly,Chocolate,Regular,17,29,493
2024-01-01,Waffly,Strawberry,Regular,88,29,2552
2024-01-01,Waffly,Caramel,Regular,86,29,2494
2024-01-01,Waffly,Choco-berry,Regular,91,29,2639
2024-01-01,Waffly,Choco-caramel,Regular,46,29,1334
2024-01-01,Waffly,Berry-caramel,Regular,46,29,1334
2024-01-01,Waffly,Chocolate,Large,48,39,1872
2024-01-01,Waffly,Strawberry,Large,81,39,3159
2024-01-01,Waffly,Caramel,Large,57,39,2223
2024-01-01,Waffly,Choco-berry,Large,18,39,702
2024-01-01,Waffly,Choco-caramel,Large,21,39,819
2024-01-01,Waffly,Berry-caramel,Large,91,39,3549
2024-01-01,WaterStation,Gallon Round,New,78,150,11700
2024-01-01,WaterStation,Gallon Round,Refill,50,20,1000
2024-01-01,WaterStation,Gallon Slim,New,29,150,4350
2024-01-01,WaterStation,Gallon Slim,Refill,40,20,800
2024-01-01,WaterStation,350ml,New,12,150,1800
2024-01-01,WaterStation,500ml,New,90,150,13500
2024-01-02,Kkopi,Coffee,Solo,6,39,234
2024-01-02,Kkopi,Milktea,Jumbo,25,49,1225
2024-01-02,Kkopi,Fruit Tea,Jumbo,66,49,3234
2024-01-02,Waffly,Chocolate,Regular,25,29,725
2024-01-02,Waffly,Strawberry,Regular,36,29,1044
2024-01-02,Waffly,Caramel,Regular,93,29,2697
2024-01-02,Waffly,Choco-berry,Regular,27,29,783
2024-01-02,Waffly,Choco-caramel,Regular,83,29,2407
2024-01-02,Waffly,Berry-caramel,Regular,41,29,1189
2024-01-02,Waffly,Chocolate,Large,64,39,2496
2024-01-02,Waffly,Strawberry,Large,22,39,858
2024-01-02,Waffly,Caramel,Large,71,39,2769
2024-01-02,Waffly,Choco-berry,Large,33,39,1287
2024-01-02,Waffly,Choco-caramel,Large,96,39,3744
2024-01-02,Waffly,Berry-caramel,Large,83,39,3237
2024-01-02,WaterStation,Gallon Round,New,84,150,12600
2024-01-02,WaterStation,Gallon Round,Refill,23,20,460
2024-01-02,WaterStation,Gallon Slim,New,14,150,2100
2024-01-02,WaterStation,Gallon Slim,Refill,26,20,520
2024-01-02,WaterStation,350ml,New,26,150,3900
2024-01-02,WaterStation,500ml,New,75,150,11250
2024-01-03,Kkopi,Coffee,Solo,73,39,2847
2024-01-03,Kkopi,Milktea,Jumbo,97,49,4753
2024-01-03,Kkopi,Fruit Tea,Jumbo,50,49,2450
2024-01-03,Waffly,Chocolate,Regular,62,29,1798
2024-01-03,Waffly,Strawberry,Regular,78,29,2262
2024-01-03,Waffly,Caramel,Regular,94,29,2726
2024-01-03,Waffly,Choco-berry,Regular,63,29,1827
2024-01-03,Waffly,Choco-caramel,Regular,3,29,87
2024-01-03,Waffly,Berry-caramel,Regular,53,29,1537
2024-01-03,Waffly,Chocolate,Large,84,39,3276
2024-01-03,Waffly,Strawberry,Large,72,39,2808
2024-01-03,Waffly,Caramel,Large,58,39,2262
2024-01-03,Waffly,Choco-berry,Large,61,39,2379
2024-01-03,Waffly,Choco-caramel,Large,51,39,1989
2024-01-03,Waffly,Berry-caramel,Large,7,39,273
2024-01-03,WaterStation,Gallon Round,New,45,150,6750
2024-01-03,WaterStation,Gallon Round,Refill,3,20,60
2024-01-03,WaterStation,Gallon Slim,New,86,150,12900
2024-01-03,WaterStation,Gallon Slim,Refill,92,20,1840
2024-01-03,WaterStation,350ml,New,7,150,1050
2024-01-03,WaterStation,500ml,New,16,150,2400
2024-01-04,Kkopi,Coffee,Solo,81,39,3159
2024-01-04,Kkopi,Milktea,Jumbo,34,49,1666
2024-01-04,Kkopi,Fruit Tea,Jumbo,87,49,4263
2024-01-04,Waffly,Chocolate,Regular,89,29,2581
2024-01-04,Waffly,Strawberry,Regular,39,29,1131
2024-01-04,Waffly,Caramel,Regular,47,29,1363
2024-01-04,Waffly,Choco-berry,Regular,23,29,667
2024-01-04,Waffly,Choco-caramel,Regular,97,29,2813
2024-01-04,Waffly,Berry-caramel,Regular,92,29,2668
2024-01-04,Waffly,Chocolate,Large,69,39,2691
2024-01-04,Waffly,Strawberry,Large,6,39,234
2024-01-04,Waffly,Caramel,Large,34,39,1326
2024-01-04,Waffly,Choco-berry,Large,7,39,273
2024-01-04,Waffly,Choco-caramel,Large,51,39,1989
2024-01-04,Waffly,Berry-caramel,Large,15,39,585
2024-01-04,WaterStation,Gallon Round,New,14,150,2100
2024-01-04,WaterStation,Gallon Round,Refill,93,20,1860
2024-01-04,WaterStation,Gallon Slim,New,13,150,1950
2024-01-04,WaterStation,Gallon Slim,Refill,94,20,1880
2024-01-04,WaterStation,350ml,New,88,150,13200
2024-01-04,WaterStation,500ml,New,87,150,13050
2024-01-05,Kkopi,Coffee,Solo,55,39,2145
2024-01-05,Kkopi,Milktea,Jumbo,42,49,2058
2024-01-05,Kkopi,Fruit Tea,Jumbo,97,49,4753
2024-01-05,Waffly,Chocolate,Regular,17,29,493
2024-01-05,Waffly,Strawberry,Regular,80,29,2320
2024-01-05,Waffly,Caramel,Regular,10,29,290
2024-01-05,Waffly,Choco-berry,Regular,35,29,1015
2024-01-05,Waffly,Choco-caramel,Regular,61,29,1769
2024-01-05,Waffly,Berry-caramel,Regular,68,29,1972
2024-01-05,Waffly,Chocolate,Large,33,39,1287
