Date,Branch,Product,Size,Quantity Sold,Price,Total Sales
2024-07-01,Kkopi,Coffee,Solo,38,39,1482
2024-07-01,Kkopi,Milktea,Jumbo,57,49,2793
2024-07-01,Kkopi,Fruit Tea,Jumbo,56,49,2744
2024-07-01,Waffly,Chocolate,Regular,66,29,1914
2024-07-01,Waffly,Strawberry,Regular,27,29,783
2024-07-01,Waffly,Caramel,Regular,61,29,1769
2024-07-01,Waffly,Choco-berry,Regular,99,29,2871
2024-07-01,Waffly,Choco-caramel,Regular,32,29,928
2024-07-01,Waffly,Berry-caramel,Regular,21,29,609
2024-07-01,Waffly,Chocolate,Large,77,39,3003
2024-07-01,Waffly,Strawberry,Large,72,39,2808
2024-07-01,Waffly,Caramel,Large,82,39,3198
2024-07-01,Waffly,Choco-berry,Large,87,39,3393
2024-07-01,Waffly,Choco-caramel,Large,14,39,546
2024-07-01,Waffly,Berry-caramel,Large,29,39,1131
2024-07-01,WaterStation,Gallon Round,New,67,150,10050
2024-07-01,WaterStation,Gallon Round,Refill,60,20,1200
2024-07-01,WaterStation,Gallon Slim,New,59,150,8850
2024-07-01,WaterStation,Gallon Slim,Refill,34,20,680
2024-07-01,WaterStation,350ml,New,3,150,450
2024-07-01,WaterStation,500ml,New,51,150,7650
2024-07-02,Kkopi,Coffee,Solo,68,39,2652
2024-07-02,Kkopi,Milktea,Jumbo,12,49,588
2024-07-02,Kkopi,Fruit Tea,Jumbo,80,49,3920
2024-07-02,Waffly,Chocolate,Regular,39,29,1131
2024-07-02,Waffly,Strawberry,Regular,51,29,1479
2024-07-02,Waffly,Caramel,Regular,66,29,1914
2024-07-02,Waffly,Choco-berry,Regular,99,29,2871
2024-07-02,Waffly,Choco-caramel,Regular,72,29,2088
2024-07-02,Waffly,Berry-caramel,Regular,19,29,551
2024-07-02,Waffly,Chocolate,Large,89,39,3471
2024-07-02,Waffly,Strawberry,Large,87,39,3393
2024-07-02,Waffly,Caramel,Large,32,39,1248
2024-07-02,Waffly,Choco-berry,Large,43,39,1677
2024-07-02,Waffly,Choco-caramel,Large,22,39,858
2024-07-02,Waffly,Berry-caramel,Large,73,39,2847
2024-07-02,WaterStation,Gallon Round,New,7,150,1050
2024-07-02,WaterStation,Gallon Round,Refill,40,20,800
2024-07-02,WaterStation,Gallon Slim,New,59,150,8850
2024-07-02,WaterStation,Gallon Slim,Refill,97,20,1940
2024-07-02,WaterStation,350ml,New,14,150,2100
2024-07-02,WaterStation,500ml,New,51,150,7650
2024-07-03,Kkopi,Coffee,Solo,14,39,546
2024-07-03,Kkopi,Milktea,Jumbo,37,49,1813
2024-07-03,Kkopi,Fruit Tea,Jumbo,69,49,3381
2024-07-03,Waffly,Chocolate,Regular,89,29,2581
2024-07-03,Waffly,Strawberry,Regular,69,29,2001
2024-07-03,Waffly,Caramel,Regular,26,29,754
2024-07-03,Waffly,Choco-berry,Regular,9,29,261
2024-07-03,Waffly,Choco-caramel,Regular,57,29,1653
2024-07-03,Waffly,Berry-caramel,Regular,14,29,406
2024-07-03,Waffly,Chocolate,Large,35,39,1365
2024-07-03,Waffly,Strawberry,Large,89,39,3471
2024-07-03,Waffly,Caramel,Large,81,39,3159
2024-07-03,Waffly,Choco-berry,Large,15,39,585
2024-07-03,Waffly,Choco-caramel,Large,84,39,3276
2024-07-03,Waffly,Berry-caramel,Large,80,39,3120
2024-07-03,WaterStation,Gallon Round,New,47,150,7050
2024-07-03,WaterStation,Gallon Round,Refill,100,20,2000
2024-07-03,WaterStation,Gallon Slim,New,7,150,1050
2024-07-03,WaterStation,Gallon Slim,Refill,6,20,120
2024-07-03,WaterStation,350ml,New,90,150,13500
2024-07-03,WaterStation,500ml,New,38,150,5700
2024-07-04,Kkopi,Coffee,Solo,9,39,351
2024-07-04,Kkopi,Milktea,Jumbo,83,49,4067
2024-07-04,Kkopi,Fruit Tea,Jumbo,13,49,637
2024-07-04,Waffly,Chocolate,Regular,69,29,2001
2024-07-04,Waffly,Strawberry,Regular,12,29,348
2024-07-04,Waffly,Caramel,Regular,97,29,2813
2024-07-04,Waffly,Choco-berry,Regular,100,29,2900
2024-07-04,Waffly,Choco-caramel,Regular,78,29,2262
2024-07-04,Waffly,Berry-caramel,Regular,56,29,1624
2024-07-04,Waffly,Chocolate,Large,21,39,819
2024-07-04,Waffly,Strawberry,Large,6,39,234
2024-07-04,Waffly,Caramel,Large,40,39,1560
2024-07-04,Waffly,Choco-berry,Large,97,39,3783
2024-07-04,Waffly,Choco-caramel,Large,62,39,2418
2024-07-04,Waffly,Berry-caramel,Large,79,39,3081
2024-07-04,WaterStation,Gallon Round,New,95,150,14250
2024-07-04,WaterStation,Gallon Round,Refill,52,20,1040
2024-07-04,WaterStation,Gallon Slim,New,41,150,6150
2024-07-04,WaterStation,Gallon Slim,Refill,52,20,1040
2024-07-04,WaterStation,350ml,New,92,150,13800
2024-07-04,WaterStation,500ml,New,7,150,1050
2024-07-05,Kkopi,Coffee,Solo,59,39,2301
2024-07-05,Kkopi,Milktea,Jumbo,92,49,4508
2024-07-05,Kkopi,Fruit Tea,Jumbo,56,49,2744
2024-07-05,Waffly,Chocolate,Regular,73,29,2117
2024-07-05,Waffly,Strawberry,Regular,61,29,1769
