Date,Branch,Product,Size,Quantity Sold,Price,Total Sales
2024-06-01,Kkopi,Coffee,Solo,95,39,3705
2024-06-01,Kkopi,Milktea,Jumbo,8,49,392
2024-06-01,Kkopi,Fruit Tea,Jumbo,57,49,2793
2024-06-01,Waffly,Chocolate,Regular,35,29,1015
2024-06-01,Waffly,Strawberry,Regular,15,29,435
2024-06-01,Waffly,Caramel,Regular,64,29,1856
2024-06-01,Waffly,Choco-berry,Regular,19,29,551
2024-06-01,Waffly,Choco-caramel,Regular,25,29,725
2024-06-01,Waffly,Berry-caramel,Regular,22,29,638
2024-06-01,Waffly,Chocolate,Large,61,39,2379
2024-06-01,Waffly,Strawberry,Large,42,39,1638
2024-06-01,Waffly,Caramel,Large,84,39,3276
2024-06-01,Waffly,Choco-berry,Large,55,39,2145
2024-06-01,Waffly,Choco-caramel,Large,20,39,780
2024-06-01,Waffly,Berry-caramel,Large,100,39,3900
2024-06-01,WaterStation,Gallon Round,New,11,150,1650
2024-06-01,WaterStation,Gallon Round,Refill,47,20,940
2024-06-01,WaterStation,Gallon Slim,New,79,150,11850
2024-06-01,WaterStation,Gallon Slim,Refill,3,20,60
2024-06-01,WaterStation,350ml,New,74,150,11100
2024-06-01,WaterStation,500ml,New,40,150,6000
2024-06-02,Kkopi,Coffee,Solo,97,39,3783
2024-06-02,Kkopi,Milktea,Jumbo,13,49,637
2024-06-02,Kkopi,Fruit Tea,Jumbo,91,49,4459
2024-06-02,Waffly,Chocolate,Regular,64,29,1856
2024-06-02,Waffly,Strawberry,Regular,59,29,1711
2024-06-02,Waffly,Caramel,Regular,76,29,2204
2024-06-02,Waffly,Choco-berry,Regular,35,29,1015
2024-06-02,Waffly,Choco-caramel,Regular,9,29,261
2024-06-02,Waffly,Berry-caramel,Regular,89,29,2581
2024-06-02,Waffly,Chocolate,Large,91,39,3549
2024-06-02,Waffly,Strawberry,Large,30,39,1170
2024-06-02,Waffly,Caramel,Large,96,39,3744
2024-06-02,Waffly,Choco-berry,Large,87,39,3393
2024-06-02,Waffly,Choco-caramel,Large,93,39,3627
2024-06-02,Waffly,Berry-caramel,Large,2,39,78
2024-06-02,WaterStation,Gallon Round,New,84,150,12600
2024-06-02,WaterStation,Gallon Round,Refill,21,20,420
2024-06-02,WaterStation,Gallon Slim,New,74,150,11100
2024-06-02,WaterStation,Gallon Slim,Refill,80,20,1600
2024-06-02,WaterStation,350ml,New,95,150,14250
2024-06-02,WaterStation,500ml,New,10,150,1500
2024-06-03,Kkopi,Coffee,Solo,44,39,1716
2024-06-03,Kkopi,Milktea,Jumbo,43,49,2107
2024-06-03,Kkopi,Fruit Tea,Jumbo,65,49,3185
2024-06-03,Waffly,Chocolate,Regular,36,29,1044
2024-06-03,Waffly,Strawberry,Regular,34,29,986
2024-06-03,Waffly,Caramel,Regular,2,29,58
2024-06-03,Waffly,Choco-berry,Regular,35,29,1015
2024-06-03,Waffly,Choco-caramel,Regular,34,29,986
2024-06-03,Waffly,Berry-caramel,Regular,18,29,522
2024-06-03,Waffly,Chocolate,Large,49,39,1911
2024-06-03,Waffly,Strawberry,Large,31,39,1209
2024-06-03,Waffly,Caramel,Large,73,39,2847
