Date,Branch,Product,Size,Quantity Sold,Price,Total Sales
2024-03-01,Kkopi,Coffee,Solo,30,39,1170
2024-03-01,Kkopi,Milktea,Jumbo,63,49,3087
2024-03-01,Kkopi,Fruit Tea,Jumbo,89,49,4361
2024-03-01,Waffly,Chocolate,Regular,98,29,2842
2024-03-01,Waffly,Strawberry,Regular,53,29,1537
2024-03-01,Waffly,Caramel,Regular,22,29,638
2024-03-01,Waffly,Choco-berry,Regular,26,29,754
2024-03-01,Waffly,Choco-caramel,Regular,3,29,87
2024-03-01,Waffly,Berry-caramel,Regular,69,29,2001
2024-03-01,Waffly,Chocolate,Large,53,39,2067
2024-03-01,Waffly,Strawberry,Large,82,39,3198
2024-03-01,Waffly,Caramel,Large,14,39,546
2024-03-01,Waffly,Choco-berry,Large,24,39,936
2024-03-01,Waffly,Choco-caramel,Large,88,39,3432
2024-03-01,Waffly,Berry-caramel,Large,46,39,1794
2024-03-01,WaterStation,Gallon Round,New,28,150,4200
2024-03-01,WaterStation,Gallon Round,Refill,70,20,1400
2024-03-01,WaterStation,Gallon Slim,New,17,150,2550
2024-03-01,WaterStation,Gallon Slim,Refill,96,20,1920
2024-03-01,WaterStation,350ml,New,13,150,1950
2024-03-01,WaterStation,500ml,New,41,150,6150
2024-03-02,Kkopi,Coffee,Solo,73,39,2847
2024-03-02,Kkopi,Milktea,Jumbo,8,49,392
2024-03-02,Kkopi,Fruit Tea,Jumbo,76,49,3724
2024-03-02,Waffly,Chocolate,Regular,96,29,2784
2024-03-02,Waffly,Strawberry,Regular,11,29,319
2024-03-02,Waffly,Caramel,Regular,18,29,522
2024-03-02,Waffly,Choco-berry,Regular,15,29,435
2024-03-02,Waffly,Choco-caramel,Regular,78,29,2262
2024-03-02,Waffly,Berry-caramel,Regular,8,29,232
2024-03-02,Waffly,Chocolate,Large,66,39,2574
2024-03-02,Waffly,Strawberry,Large,34,39,1326
2024-03-02,Waffly,Caramel,Large,39,39,1521
2024-03-02,Waffly,Choco-berry,Large,22,39,858
2024-03-02,Waffly,Choco-caramel,Large,50,39,1950
2024-03-02,Waffly,Berry-caramel,Large,6,39,234
2024-03-02,WaterStation,Gallon Round,New,97,150,14550
2024-03-02,WaterStation,Gallon Round,Refill,87,20,1740
2024-03-02,WaterStation,Gallon Slim,New,13,150,1950
2024-03-02,WaterStation,Gallon Slim,Refill,18,20,360
2024-03-02,WaterStation,350ml,New,79,150,11850
2024-03-02,WaterStation,500ml,New,100,150,15000
2024-03-03,Kkopi,Coffee,Solo,11,39,429
2024-03-03,Kkopi,Milktea,Jumbo,64,49,3136
2024-03-03,Kkopi,Fruit Tea,Jumbo,13,49,637
2024-03-03,Waffly,Chocolate,Regular,7,29,203
2024-03-03,Waffly,Strawberry,Regular,68,29,1972
2024-03-03,Waffly,Caramel,Regular,45,29,1305
2024-03-03,Waffly,Choco-berry,Regular,35,29,1015
