Date,Branch,Product,Size,Quantity Sold,Price,Total Sales
2024-05-01,Kkopi,Coffee,Solo,48,39,1872
2024-05-01,Kkopi,Milktea,Jumbo,85,49,4165
2024-05-01,Kkopi,Fruit Tea,Jumbo,87,49,4263
2024-05-01,Waffly,Chocolate,Regular,94,29,2726
2024-05-01,Waffly,Strawberry,Regular,60,29,1740
2024-05-01,Waffly,Caramel,Regular,74,29,2146
2024-05-01,Waffly,Choco-berry,Regular,95,29,2755
2024-05-01,Waffly,Choco-caramel,Regular,75,29,2175
2024-05-01,Waffly,Berry-caramel,Regular,31,29,899
2024-05-01,Waffly,Chocolate,Large,19,39,741
2024-05-01,Waffly,Strawberry,Large,91,39,3549
2024-05-01,Waffly,Caramel,Large,93,39,3627
2024-05-01,Waffly,Choco-berry,Large,39,39,1521
2024-05-01,Waffly,Choco-caramel,Large,86,39,3354
2024-05-01,Waffly,Berry-caramel,Large,76,39,2964
2024-05-01,WaterStation,Gallon Round,New,54,150,8100
2024-05-01,WaterStation,Gallon Round,Refill,56,20,1120
2024-05-01,WaterStation,Gallon Slim,New,37,150,5550
2024-05-01,WaterStation,Gallon Slim,Refill,24,20,480
2024-05-01,WaterStation,350ml,New,29,150,4350
2024-05-01,WaterStation,500ml,New,59,150,8850
2024-05-02,Kkopi,Coffee,Solo,33,39,1287
2024-05-02,Kkopi,Milktea,Jumbo,96,49,4704
2024-05-02,Kkopi,Fruit Tea,Jumbo,60,49,2940
2024-05-02,Waffly,Chocolate,Regular,48,29,1392
2024-05-02,Waffly,Strawberry,Regular,20,29,580
2024-05-02,Waffly,Caramel,Regular,64,29,1856
2024-05-02,Waffly,Choco-berry,Regular,2,29,58
2024-05-02,Waffly,Choco-caramel,Regular,67,29,1943
2024-05-02,Waffly,Berry-caramel,Regular,48,29,1392
2024-05-02,Waffly,Chocolate,Large,17,39,663
2024-05-02,Waffly,Strawberry,Large,74,39,2886
2024-05-02,Waffly,Caramel,Large,35,39,1365
2024-05-02,Waffly,Choco-berry,Large,12,39,468
2024-05-02,Waffly,Choco-caramel,Large,52,39,2028
2024-05-02,Waffly,Berry-caramel,Large,5,39,195
2024-05-02,WaterStation,Gallon Round,New,9,150,1350
2024-05-02,WaterStation,Gallon Round,Refill,96,20,1920
2024-05-02,WaterStation,Gallon Slim,New,93,150,13950
2024-05-02,WaterStation,Gallon Slim,Refill,86,20,1720
2024-05-02,WaterStation,350ml,New,70,150,10500
2024-05-02,WaterStation,500ml,New,52,150,7800
2024-05-03,Kkopi,Coffee,Solo,88,39,3432
2024-05-03,Kkopi,Milktea,Jumbo,95,49,4655
2024-05-03,Kkopi,Fruit Tea,Jumbo,100,49,4900
2024-05-03,Waffly,Chocolate,Regular,32,29,928
2024-05-03,Waffly,Strawberry,Regular,20,29,580
2024-05-03,Waffly,Caramel,Regular,28,29,812
2024-05-03,Waffly,Choco-berry,Regular,67,29,1943
2024-05-03,Waffly,Choco-caramel,Regular,14,29,406
2024-05-03,Waffly,Berry-caramel,Regular,18,29,522
2024-05-03,Waffly,Chocolate,Large,29,39,1131
2024-05-03,Waffly,Strawberry,Large,35,39,1365
2024-05-03,Waffly,Caramel,Large,49,39,1911
2024-05-03,Waffly,Choco-berry,Large,99,39,3861
2024-05-03,Waffly,Choco-caramel,Large,95,39,3705
2024-05-03,Waffly,Berry-caramel,Large,19,39,741
2024-05-03,WaterStation,Gallon Round,New,84,150,12600
2024-05-03,WaterStation,Gallon Round,Refill,44,20,880
2024-05-03,WaterStation,Gallon Slim,New,82,150,12300
2024-05-03,WaterStation,Gallon Slim,Refill,30,20,600
2024-05-03,WaterStation,350ml,New,62,150,9300
2024-05-03,WaterStation,500ml,New,2,150,300
2024-05-04,Kkopi,Coffee,Solo,49,39,1911
2024-05-04,Kkopi,Milktea,Jumbo,32,49,1568
2024-05-04,Kkopi,Fruit Tea,Jumbo,67,49,3283
2024-05-04,Waffly,Chocolate,Regular,43,29,1247
2024-05-04,Waffly,Strawberry,Regular,60,29,1740
2024-05-04,Waffly,Caramel,Regular,10,29,290
2024-05-04,Waffly,Choco-berry,Regular,43,29,1247
2024-05-04,Waffly,Choco-caramel,Regular,53,29,1537
2024-05-04,Waffly,Berry-caramel,Regular,91,29,2639
2024-05-04,Waffly,Chocolate,Large,22,39,858
2024-05-04,Waffly,Strawberry,Large,10,39,390
2024-05-04,Waffly,Caramel,Large,35,39,1365
2024-05-04,Waffly,Choco-berry,Large,77,39,3003
2024-05-04,Waffly,Choco-caramel,Large,6,39,234
2024-05-04,Waffly,Berry-caramel,Large,29,39,1131
2024-05-04,WaterStation,Gallon Round,New,20,150,3000
2024-05-04,WaterStation,Gallon Round,Refill,83,20,1660
2024-05-04,WaterStation,Gallon Slim,New,74,150,11100
2024-05-04,WaterStation,Gallon Slim,Refill,85,20,1700
2024-05-04,WaterStation,350ml,New,15,150,2250
2024-05-04,WaterStation,500ml,New,37,150,5550
2024-05-05,Kkopi,Coffee,Solo,30,39,1170
2024-05-05,Kkopi,Milktea,Jumbo,2,49,98
2024-05-05,Kkopi,Fruit Tea,Jumbo,23,49,1127
2024-05-05,Waffly,Chocolate,Regular,69,29,2001
2024-05-05,Waffly,Strawberry,Regular,83,29,2407
2024-05-05,Waffly,Caramel,Regular,24,29,696
2024-05-05,Waffly,Choco-berry,Regular,46,29,1334
2024-05-05,Waffly,Choco-caramel,Regular,43,29,1247
2024-05-05,Waffly,Berry-caramel,Regular,94,29,2726
2024-05-05,Waffly,Chocolate,Large,99,39,3861
2024-05-05,Waffly,Strawberry,Large,59,39,2301
2024-05-05,Waffly,Caramel,Large,4,39,156
2024-05-05,Waffly,Choco-berry,Large,63,39,2457
2024-05-05,Waffly,Choco-caramel,Large,75,39,2925
2024-05-05,Waffly,Berry-caramel,Large,66,39,2574
2024-05-05,WaterStation,Gallon Round,New,25,150,3750
2024-05-05,WaterStation,Gallon Round,Refill,75,20,1500
2024-05-05,WaterStation,Gallon Slim,New,39,150,5850
2024-05-05,WaterStation,Gallon Slim,Refill,13,20,260
2024-05-05,WaterStation,350ml,New,90,150,13500
2024-05-05,WaterStation,500ml,New,16,150,2400
2024-05-06,Kkopi,Coffee,Solo,29,39,1131
2024-05-06,Kkopi,Milktea,Jumbo,20,49,980
2024-05-06,Kkopi,Fruit Tea,Jumbo,53,49,2597
2024-05-06,Waffly,Chocolate,Regular,45,29,1305
2024-05-06,Waffly,Strawberry,Regular,89,29,2581
2024-05-06,Waffly,Caramel,Regular,18,29,522
2024-05-06,Waffly,Choco-berry,Regular,23,29,667
2024-05-06,Waffly,Choco-caramel,Regular,89,29,2581
2024-05-06,Waffly,Berry-caramel,Regular,40,29,1160
2024-05-06,Waffly,Chocolate,Large,70,39,2730
2024-05-06,Waffly,Strawberry,Large,93,39,3627
2024-05-06,Waffly,Caramel,Large,38,39,1482
2024-05-06,Waffly,Choco-berry,Large,93,39,3627
2024-05-06,Waffly,Choco-caramel,Large,94,39,3666
2024-05-06,Waffly,Berry-caramel,Large,99,39,3861
2024-05-06,WaterStation,Gallon Round,New,13,150,1950
2024-05-06,WaterStation,Gallon Round,Refill,47,20,940
2024-05-06,WaterStation,Gallon Slim,New,59,150,8850
2024-05-06,WaterStation,Gallon Slim,Refill,82,20,1640
2024-05-06,WaterStation,350ml,New,75,150,11250
2024-05-06,WaterStation,500ml,New,68,150,10200
2024-05-07,Kkopi,Coffee,Solo,80,39,3120
2024-05-07,Kkopi,Milktea,Jumbo,17,49,833
2024-05-07,Kkopi,Fruit Tea,Jumbo,97,49,4753
2024-05-07,Waffly,Chocolate,Regular,62,29,1798
2024-05-07,Waffly,Strawberry,Regular,62,29,1798
2024-05-07,Waffly,Caramel,Regular,90,29,2610
2024-05-07,Waffly,Choco-berry,Regular,88,29,2552
2024-05-07,Waffly,Choco-caramel,Regular,61,29,1769
2024-05-07,Waffly,Berry-caramel,Regular,15,29,435
2024-05-07,Waffly,Chocolate,Large,30,39,1170
2024-05-07,Waffly,Strawberry,Large,30,39,1170
2024-05-07,Waffly,Caramel,Large,4,39,156
2024-05-07,Waffly,Choco-berry,Large,99,39,3861
2024-05-07,Waffly,Choco-caramel,Large,48,39,1872
2024-05-07,Waffly,Berry-caramel,Large,28,39,1092
2024-05-07,WaterStation,Gallon Round,New,33,150,4950
2024-05-07,WaterStation,Gallon Round,Refill,26,20,520
2024-05-07,WaterStation,Gallon Slim,New,37,150,5550
2024-05-07,WaterStation,Gallon Slim,Refill,92,20,1840
2024-05-07,WaterStation,350ml,New,9,150,1350
2024-05-07,WaterStation,500ml,New,32,150,4800
2024-05-08,Kkopi,Coffee,Solo,5,39,195
2024-05-08,Kkopi,Milktea,Jumbo,17,49,833
2024-05-08,Kkopi,Fruit Tea,Jumbo,79,49,3871
2024-05-08,Waffly,Chocolate,Regular,45,29,1305
2024-05-08,Waffly,Strawberry,Regular,20,29,580
2024-05-08,Waffly,Caramel,Regular,43,29,1247
2024-05-08,Waffly,Choco-berry,Regular,41,29,1189
2024-05-08,Waffly,Choco-caramel,Regular,40,29,1160
2024-05-08,Waffly,Berry-caramel,Regular,21,29,609
2024-05-08,Waffly,Chocolate,Large,11,39,429
2024-05-08,Waffly,Strawberry,Large,88,39,3432
2024-05-08,Waffly,Caramel,Large,61,39,2379
2024-05-08,Waffly,Choco-berry,Large,38,39,1482
2024-05-08,Waffly,Choco-caramel,Large,11,39,429
2024-05-08,Waffly,Berry-caramel,Large,64,39,2496
2024-05-08,WaterStation,Gallon Round,New,99,150,14850
2024-05-08,WaterStation,Gallon Round,Refill,97,20,1940
2024-05-08,WaterStation,Gallon Slim,New,7,150,1050
2024-05-08,WaterStation,Gallon Slim,Refill,42,20,840
2024-05-08,WaterStation,350ml,New,30,150,4500
2024-05-08,WaterStation,500ml,New,58,150,8700
2024-05-09,Kkopi,Coffee,Solo,29,39,1131
2024-05-09,Kkopi,Milktea,Jumbo,50,49,2450
2024-05-09,Kkopi,Fruit Tea,Jumbo,38,49,1862
2024-05-09,Waffly,Chocolate,Regular,85,29,2465
2024-05-09,Waffly,Strawberry,Regular,59,29,1711
2024-05-09,Waffly,Caramel,Regular,78,29,2262
2024-05-09,Waffly,Choco-berry,Regular,87,29,2523
2024-05-09,Waffly,Choco-caramel,Regular,83,29,2407
2024-05-09,Waffly,Berry-caramel,Regular,77,29,2233
2024-05-09,Waffly,Chocolate,Large,80,39,3120
2024-05-09,Waffly,Strawberry,Large,4,39,156
2024-05-09,Waffly,Caramel,Large,43,39,1677
2024-05-09,Waffly,Choco-berry,Large,27,39,1053
2024-05-09,Waffly,Choco-caramel,Large,5,39,195
2024-05-09,Waffly,Berry-caramel,Large,29,39,1131
2024-05-09,WaterStation,Gallon Round,New,21,150,3150
2024-05-09,WaterStation,Gallon Round,Refill,73,20,1460
2024-05-09,WaterStation,Gallon Slim,New,83,150,12450
2024-05-09,WaterStation,Gallon Slim,Refill,43,20,860
2024-05-09,WaterStation,350ml,New,54,150,8100
2024-05-09,WaterStation,500ml,New,59,150,8850
2024-05-10,Kkopi,Coffee,Solo,87,39,3393
2024-05-10,Kkopi,Milktea,Jumbo,93,49,4557
2024-05-10,Kkopi,Fruit Tea,Jumbo,82,49,4018
2024-05-10,Waffly,Chocolate,Regular,61,29,1769
2024-05-10,Waffly,Strawberry,Regular,81,29,2349
2024-05-10,Waffly,Caramel,Regular,87,29,2523
2024-05-10,Waffly,Choco-berry,Regular,36,29,1044
2024-05-10,Waffly,Choco-caramel,Regular,24,29,696
2024-05-10,Waffly,Berry-caramel,Regular,95,29,2755
2024-05-10,Waffly,Chocolate,Large,89,39,3471
2024-05-10,Waffly,Strawberry,Large,24,39,936
2024-05-10,Waffly,Caramel,Large,26,39,1014
2024-05-10,Waffly,Choco-berry,Large,59,39,2301
2024-05-10,Waffly,Choco-caramel,Large,57,39,2223
2024-05-10,Waffly,Berry-caramel,Large,31,39,1209
2024-05-10,WaterStation,Gallon Round,New,46,150,6900
2024-05-10,WaterStation,Gallon Round,Refill,5,20,100
2024-05-10,WaterStation,Gallon Slim,New,23,150,3450
2024-05-10,WaterStation,Gallon Slim,Refill,21,20,420
2024-05-10,WaterStation,350ml,New,4,150,600
2024-05-10,WaterStation,500ml,New,81,150,12150
2024-05-11,Kkopi,Coffee,Solo,43,39,1677
2024-05-11,Kkopi,Milktea,Jumbo,14,49,686
2024-05-11,Kkopi,Fruit Tea,Jumbo,67,49,3283
2024-05-11,Waffly,Chocolate,Regular,86,29,2494
2024-05-11,Waffly,Strawberry,Regular,45,29,1305
2024-05-11,Waffly,Caramel,Regular,76,29,2204
2024-05-11,Waffly,Choco-berry,Regular,67,29,1943
2024-05-11,Waffly,Choco-caramel,Regular,50,29,1450
2024-05-11,Waffly,Berry-caramel,Regular,98,29,2842
2024-05-11,Waffly,Chocolate,Large,100,39,3900
2024-05-11,Waffly,Strawberry,Large,45,39,1755
2024-05-11,Waffly,Caramel,Large,35,39,1365
2024-05-11,Waffly,Choco-berry,Large,30,39,1170
2024-05-11,Waffly,Choco-caramel,Large,18,39,702
2024-05-11,Waffly,Berry-caramel,Large,37,39,1443
2024-05-11,WaterStation,Gallon Round,New,69,150,10350
2024-05-11,WaterStation,Gallon Round,Refill,57,20,1140
2024-05-11,WaterStation,Gallon Slim,New,88,150,13200
2024-05-11,WaterStation,Gallon Slim,Refill,56,20,1120
2024-05-11,WaterStation,350ml,New,77,150,11550
2024-05-11,WaterStation,500ml,New,100,150,15000
2024-05-12,Kkopi,Coffee,Solo,16,39,624
2024-05-12,Kkopi,Milktea,Jumbo,75,49,3675
2024-05-12,Kkopi,Fruit Tea,Jumbo,91,49,4459
2024-05-12,Waffly,Chocolate,Regular,41,29,1189
2024-05-12,Waffly,Strawberry,Regular,25,29,725
2024-05-12,Waffly,Caramel,Regular,2,29,58
2024-05-12,Waffly,Choco-berry,Regular,92,29,2668
2024-05-12,Waffly,Choco-caramel,Regular,99,29,2871
2024-05-12,Waffly,Berry-caramel,Regular,71,29,2059
2024-05-12,Waffly,Chocolate,Large,28,39,1092
2024-05-12,Waffly,Strawberry,Large,23,39,897
2024-05-12,Waffly,Caramel,Large,33,39,1287
2024-05-12,Waffly,Choco-berry,Large,73,39,2847
2024-05-12,Waffly,Choco-caramel,Large,58,39,2262
2024-05-12,Waffly,Berry-caramel,Large,31,39,1209
2024-05-12,WaterStation,Gallon Round,New,70,150,10500
2024-05-12,WaterStation,Gallon Round,Refill,58,20,1160
2024-05-12,WaterStation,Gallon Slim,New,54,150,8100
2024-05-12,WaterStation,Gallon Slim,Refill,61,20,1220
2024-05-12,WaterStation,350ml,New,67,150,10050
2024-05-12,WaterStation,500ml,New,99,150,14850
2024-05-13,Kkopi,Coffee,Solo,22,39,858
2024-05-13,Kkopi,Milktea,Jumbo,85,49,4165
2024-05-13,Kkopi,Fruit Tea,Jumbo,76,49,3724
2024-05-13,Waffly,Chocolate,Regular,68,29,1972
2024-05-13,Waffly,Strawberry,Regular,72,29,2088
2024-05-13,Waffly,Caramel,Regular,45,29,1305
2024-05-13,Waffly,Choco-berry,Regular,33,29,957
2024-05-13,Waffly,Choco-caramel,Regular,66,29,1914
2024-05-13,Waffly,Berry-caramel,Regular,23,29,667
2024-05-13,Waffly,Chocolate,Large,15,39,585
2024-05-13,Waffly,Strawberry,Large,83,39,3237
2024-05-13,Waffly,Caramel,Large,85,39,3315
2024-05-13,Waffly,Choco-berry,Large,69,39,2691
2024-05-13,Waffly,Choco-caramel,Large,23,39,897
2024-05-13,Waffly,Berry-caramel,Large,63,39,2457
2024-05-13,WaterStation,Gallon Round,New,46,150,6900
2024-05-13,WaterStation,Gallon Round,Refill,93,20,1860
2024-05-13,WaterStation,Gallon Slim,New,6,150,900
2024-05-13,WaterStation,Gallon Slim,Refill,18,20,360
2024-05-13,WaterStation,350ml,New,15,150,2250
2024-05-13,WaterStation,500ml,New,88,150,13200
2024-05-14,Kkopi,Coffee,Solo,29,39,1131
2024-05-14,Kkopi,Milktea,Jumbo,17,49,833
2024-05-14,Kkopi,Fruit Tea,Jumbo,32,49,1568
2024-05-14,Waffly,Chocolate,Regular,17,29,493
2024-05-14,Waffly,Strawberry,Regular,93,29,2697
2024-05-14,Waffly,Caramel,Regular,77,29,2233
2024-05-14,Waffly,Choco-berry,Regular,40,29,1160
2024-05-14,Waffly,Choco-caramel,Regular,95,29,2755
2024-05-14,Waffly,Berry-caramel,Regular,14,29,406
2024-05-14,Waffly,Chocolate,Large,45,39,1755
2024-05-14,Waffly,Strawberry,Large,8,39,312
2024-05-14,Waffly,Caramel,Large,34,39,1326
2024-05-14,Waffly,Choco-berry,Large,73,39,2847
2024-05-14,Waffly,Choco-caramel,Large,14,39,546
2024-05-14,Waffly,Berry-caramel,Large,36,39,1404
2024-05-14,WaterStation,Gallon Round,New,64,150,9600
2024-05-14,WaterStation,Gallon Round,Refill,62,20,1240
2024-05-14,WaterStation,Gallon Slim,New,52,150,7800
2024-05-14,WaterStation,Gallon Slim,Refill,65,20,1300
2024-05-14,WaterStation,350ml,New,19,150,2850
2024-05-14,WaterStation,500ml,New,73,150,10950
2024-05-15,Kkopi,Coffee,Solo,46,39,1794
2024-05-15,Kkopi,Milktea,Jumbo,76,49,3724
2024-05-15,Kkopi,Fruit Tea,Jumbo,9,49,441
2024-05-15,Waffly,Chocolate,Regular,13,29,377
2024-05-15,Waffly,Strawberry,Regular,4,29,116
2024-05-15,Waffly,Caramel,Regular,16,29,464
2024-05-15,Waffly,Choco-berry,Regular,42,29,1218
2024-05-15,Waffly,Choco-caramel,Regular,44,29,1276
2024-05-15,Waffly,Berry-caramel,Regular,59,29,1711
2024-05-15,Waffly,Chocolate,Large,4,39,156
2024-05-15,Waffly,Strawberry,Large,92,39,3588
2024-05-15,Waffly,Caramel,Large,35,39,1365
2024-05-15,Waffly,Choco-berry,Large,2,39,78
2024-05-15,Waffly,Choco-caramel,Large,58,39,2262
2024-05-15,Waffly,Berry-caramel,Large,67,39,2613
2024-05-15,WaterStation,Gallon Round,New,24,150,3600
2024-05-15,WaterStation,Gallon Round,Refill,47,20,940
2024-05-15,WaterStation,Gallon Slim,New,9,150,1350
2024-05-15,WaterStation,Gallon Slim,Refill,64,20,1280
2024-05-15,WaterStation,350ml,New,25,150,3750
2024-05-15,WaterStation,500ml,New,89,150,13350
2024-05-16,Kkopi,Coffee,Solo,13,39,507
2024-05-16,Kkopi,Milktea,Jumbo,24,49,1176
2024-05-16,Kkopi,Fruit Tea,Jumbo,14,49,686
2024-05-16,Waffly,Chocolate,Regular,35,29,1015
2024-05-16,Waffly,Strawberry,Regular,55,29,1595
2024-05-16,Waffly,Caramel,Regular,47,29,1363
2024-05-16,Waffly,Choco-berry,Regular,25,29,725
2024-05-16,Waffly,Choco-caramel,Regular,51,29,1479
2024-05-16,Waffly,Berry-caramel,Regular,88,29,2552
2024-05-16,Waffly,Chocolate,Large,28,39,1092
2024-05-16,Waffly,Strawberry,Large,89,39,3471
2024-05-16,Waffly,Caramel,Large,30,39,1170
2024-05-16,Waffly,Choco-berry,Large,93,39,3627
2024-05-16,Waffly,Choco-caramel,Large,86,39,3354
2024-05-16,Waffly,Berry-caramel,Large,35,39,1365
2024-05-16,WaterStation,Gallon Round,New,48,150,7200
2024-05-16,WaterStation,Gallon Round,Refill,93,20,1860
2024-05-16,WaterStation,Gallon Slim,New,65,150,9750
2024-05-16,WaterStation,Gallon Slim,Refill,76,20,1520
2024-05-16,WaterStation,350ml,New,66,150,9900
2024-05-16,WaterStation,500ml,New,80,150,12000
2024-05-17,Kkopi,Coffee,Solo,77,39,3003
2024-05-17,Kkopi,Milktea,Jumbo,6,49,294
2024-05-17,Kkopi,Fruit Tea,Jumbo,89,49,4361
2024-05-17,Waffly,Chocolate,Regular,39,29,1131
2024-05-17,Waffly,Strawberry,Regular,63,29,1827
2024-05-17,Waffly,Caramel,Regular,7,29,203
2024-05-17,Waffly,Choco-berry,Regular,27,29,783
2024-05-17,Waffly,Choco-caramel,Regular,11,29,319
2024-05-17,Waffly,Berry-caramel,Regular,38,29,1102
2024-05-17,Waffly,Chocolate,Large,51,39,1989
2024-05-17,Waffly,Strawberry,Large,6,39,234
2024-05-17,Waffly,Caramel,Large,37,39,1443
2024-05-17,Waffly,Choco-berry,Large,97,39,3783
2024-05-17,Waffly,Choco-caramel,Large,40,39,1560
2024-05-17,Waffly,Berry-caramel,Large,2,39,78
2024-05-17,WaterStation,Gallon Round,New,37,150,5550
2024-05-17,WaterStation,Gallon Round,Refill,43,20,860
2024-05-17,WaterStation,Gallon Slim,New,56,150,8400
2024-05-17,WaterStation,Gallon Slim,Refill,27,20,540
2024-05-17,WaterStation,350ml,New,30,150,4500
2024-05-17,WaterStation,500ml,New,100,150,15000
2024-05-18,Kkopi,Coffee,Solo,24,39,936
