Date,Branch,Product,Size,Quantity Sold,Price,Total Sales
2024-11-01,Kkopi,Coffee,Solo,64,39,2496
2024-11-01,Kkopi,Milktea,Jumbo,39,49,1911
2024-11-01,Kkopi,Fruit Tea,Jumbo,35,49,1715
2024-11-01,Waffly,Chocolate,Regular,56,29,1624
2024-11-01,Waffly,Strawberry,Regular,18,29,522
2024-11-01,Waffly,Caramel,Regular,55,29,1595
2024-11-01,Waffly,Choco-berry,Regular,93,29,2697
2024-11-01,Waffly,Choco-caramel,Regular,7,29,203
2024-11-01,Waffly,Berry-caramel,Regular,30,29,870
2024-11-01,Waffly,Chocolate,Large,24,39,936
2024-11-01,Waffly,Strawberry,Large,23,39,897
2024-11-01,Waffly,Caramel,Large,73,39,2847
2024-11-01,Waffly,Choco-berry,Large,20,39,780
2024-11-01,Waffly,Choco-caramel,Large,77,39,3003
2024-11-01,Waffly,Berry-caramel,Large,44,39,1716
2024-11-01,WaterStation,Gallon Round,New,28,150,4200
2024-11-01,WaterStation,Gallon Round,Refill,76,20,1520
2024-11-01,WaterStation,Gallon Slim,New,57,150,8550
2024-11-01,WaterStation,Gallon Slim,Refill,3,20,60
2024-11-01,WaterStation,350ml,New,25,150,3750
2024-11-01,WaterStation,500ml,New,19,150,2850
2024-11-02,Kkopi,Coffee,Solo,36,39,1404
2024-11-02,Kkopi,Milktea,Jumbo,52,49,2548
2024-11-02,Kkopi,Fruit Tea,Jumbo,54,49,2646
2024-11-02,Waffly,Chocolate,Regular,49,29,1421
2024-11-02,Waffly,Strawberry,Regular,48,29,1392
2024-11-02,Waffly,Caramel,Regular,78,29,2262
2024-11-02,Waffly,Choco-berry,Regular,83,29,2407
2024-11-02,Waffly,Choco-caramel,Regular,36,29,1044
2024-11-02,Waffly,Berry-caramel,Regular,57,29,1653
2024-11-02,Waffly,Chocolate,Large,72,39,2808
2024-11-02,Waffly,Strawberry,Large,7,39,273
2024-11-02,Waffly,Caramel,Large,80,39,3120
2024-11-02,Waffly,Choco-berry,Large,70,39,2730
2024-11-02,Waffly,Choco-caramel,Large,14,39,546
2024-11-02,Waffly,Berry-caramel,Large,18,39,702
2024-11-02,WaterStation,Gallon Round,New,53,150,7950
2024-11-02,WaterStation,Gallon Round,Refill,60,20,1200
2024-11-02,WaterStation,Gallon Slim,New,78,150,11700
2024-11-02,WaterStation,Gallon Slim,Refill,21,20,420
2024-11-02,WaterStation,350ml,New,95,150,14250
2024-11-02,WaterStation,500ml,New,90,150,13500
2024-11-03,Kkopi,Coffee,Solo,8,39,312
2024-11-03,Kkopi,Milktea,Jumbo,96,49,4704
2024-11-03,Kkopi,Fruit Tea,Jumbo,96,49,4704
2024-11-03,Waffly,Chocolate,Regular,100,29,2900
2024-11-03,Waffly,Strawberry,Regular,74,29,2146
2024-11-03,Waffly,Caramel,Regular,85,29,2465
2024-11-03,Waffly,Choco-berry,Regular,100,29,2900
2024-11-03,Waffly,Choco-caramel,Regular,27,29,783
2024-11-03,Waffly,Berry-caramel,Regular,2,29,58
2024-11-03,Waffly,Chocolate,Large,29,39,1131
2024-11-03,Waffly,Strawberry,Large,94,39,3666
2024-11-03,Waffly,Caramel,Large,57,39,2223
2024-11-03,Waffly,Choco-berry,Large,11,39,429
2024-11-03,Waffly,Choco-caramel,Large,86,39,3354
2024-11-03,Waffly,Berry-caramel,Large,81,39,3159
2024-11-03,WaterStation,Gallon Round,New,79,150,11850
2024-11-03,WaterStation,Gallon Round,Refill,58,20,1160
