Date,Branch,Product,Size,Quantity Sold,Price,Total Sales
2024-09-01,Kkopi,Coffee,Solo,41,39,1599
2024-09-01,Kkopi,Milktea,Jumbo,54,49,2646
2024-09-01,Kkopi,Fruit Tea,Jumbo,43,49,2107
2024-09-01,Waffly,Chocolate,Regular,73,29,2117
2024-09-01,Waffly,Strawberry,Regular,41,29,1189
2024-09-01,Waffly,Caramel,Regular,92,29,2668
2024-09-01,Waffly,Choco-berry,Regular,55,29,1595
2024-09-01,Waffly,Choco-caramel,Regular,26,29,754
2024-09-01,Waffly,Berry-caramel,Regular,30,29,870
2024-09-01,Waffly,Chocolate,Large,15,39,585
2024-09-01,Waffly,Strawberry,Large,20,39,780
2024-09-01,Waffly,Caramel,Large,37,39,1443
2024-09-01,Waffly,Choco-berry,Large,47,39,1833
2024-09-01,Waffly,Choco-caramel,Large,18,39,702
2024-09-01,Waffly,Berry-caramel,Large,67,39,2613
2024-09-01,WaterStation,Gallon Round,New,47,150,7050
2024-09-01,WaterStation,Gallon Round,Refill,78,20,1560
2024-09-01,WaterStation,Gallon Slim,New,86,150,12900
2024-09-01,WaterStation,Gallon Slim,Refill,40,20,800
2024-09-01,WaterStation,350ml,New,10,150,1500
2024-09-01,WaterStation,500ml,New,33,150,4950
2024-09-02,Kkopi,Coffee,Solo,73,39,2847
2024-09-02,Kkopi,Milktea,Jumbo,36,49,1764
2024-09-02,Kkopi,Fruit Tea,Jumbo,72,49,3528
2024-09-02,Waffly,Chocolate,Regular,55,29,1595
2024-09-02,Waffly,Strawberry,Regular,45,29,1305
2024-09-02,Waffly,Caramel,Regular,85,29,2465
2024-09-02,Waffly,Choco-berry,Regular,94,29,2726
2024-09-02,Waffly,Choco-caramel,Regular,55,29,1595
2024-09-02,Waffly,Berry-caramel,Regular,27,29,783
2024-09-02,Waffly,Chocolate,Large,70,39,2730
2024-09-02,Waffly,Strawberry,Large,84,39,3276
2024-09-02,Waffly,Caramel,Large,32,39,1248
2024-09-02,Waffly,Choco-berry,Large,87,39,3393
2024-09-02,Waffly,Choco-caramel,Large,69,39,2691
2024-09-02,Waffly,Berry-caramel,Large,6,39,234
2024-09-02,WaterStation,Gallon Round,New,57,150,8550
2024-09-02,WaterStation,Gallon Round,Refill,7,20,140
2024-09-02,WaterStation,Gallon Slim,New,98,150,14700
2024-09-02,WaterStation,Gallon Slim,Refill,89,20,1780
2024-09-02,WaterStation,350ml,New,85,150,12750
2024-09-02,WaterStation,500ml,New,88,150,13200
2024-09-03,Kkopi,Coffee,Solo,8,39,312
2024-09-03,Kkopi,Milktea,Jumbo,57,49,2793
2024-09-03,Kkopi,Fruit Tea,Jumbo,71,49,3479
2024-09-03,Waffly,Chocolate,Regular,18,29,522
2024-09-03,Waffly,Strawberry,Regular,4,29,116
2024-09-03,Waffly,Caramel,Regular,89,29,2581
2024-09-03,Waffly,Choco-berry,Regular,98,29,2842
2024-09-03,Waffly,Choco-caramel,Regular,87,29,2523
2024-09-03,Waffly,Berry-caramel,Regular,50,29,1450
2024-09-03,Waffly,Chocolate,Large,84,39,3276
2024-09-03,Waffly,Strawberry,Large,48,39,1872
2024-09-03,Waffly,Caramel,Large,70,39,2730
2024-09-03,Waffly,Choco-berry,Large,6,39,234
2024-09-03,Waffly,Choco-caramel,Large,97,39,3783
2024-09-03,Waffly,Berry-caramel,Large,59,39,2301
2024-09-03,WaterStation,Gallon Round,New,63,150,9450
2024-09-03,WaterStation,Gallon Round,Refill,15,20,300
2024-09-03,WaterStation,Gallon Slim,New,10,150,1500
2024-09-03,WaterStation,Gallon Slim,Refill,22,20,440
2024-09-03,WaterStation,350ml,New,64,150,9600
2024-09-03,WaterStation,500ml,New,12,150,1800
2024-09-04,Kkopi,Coffee,Solo,7,39,273
2024-09-04,Kkopi,Milktea,Jumbo,89,49,4361
2024-09-04,Kkopi,Fruit Tea,Jumbo,8,49,392
2024-09-04,Waffly,Chocolate,Regular,67,29,1943
